nome,famiglia,quartiere,nobile,cerchio
Cecco Capitanei,nan,ponte,No,C3
Cecco Faccha,nan,foriporta,No,C3
Cecco del fu Gaddo,nan,medio,No,C3
Cecco di Bindo Alliata,Alliata,foriporta,No,C3
Cecco di Ferrante,nan,kinzica,No,C3
Cecco di Giovanni,nan,foriporta,No,C3
Cecco di Mone,nan,foriporta,No,C3
Cecco di Nuto,nan,kinzica,No,C3
Cecco di Piero,nan,ponte,No,C3
Cecco di Riccio,nan,foriporta,No,C3
Cellino Dati,nan,ponte,No,C3
Cello di Giovanni,nan,ponte,No,C3
Cenobio,nan,medio,No,C3
Ceo Bonfiglioli,nan,ponte,No,C3
Ceo del Lante da Vico,del Lante,medio,No,C3
Ceo di Betto,nan,medio,No,C3
Ceo di Nerio,nan,ponte,No,C3
Ceo di Puccio,nan,medio,No,C3
Cerio Petrocolo,nan,foriporta,No,C3
Chello di Ser Buono,nan,foriporta,No,C3
Ciale Megliorati,nan,kinzica,No,C3
Ciano Scorcialupi,Scorcialupi,ponte,No,C3
Cino Mannuccio,nan,ponte,No,C3
Cino di Mannuccio,nan,ponte,No,C3
Cino di Riccio Sardo,Sardo,kinzica,No,C3
Cino di Salvuccio Bandini,nan,foriporta,No,C3
Ciola di Lapo,nan,kinzica,No,C3
Ciolo Murcio,Murcio,kinzica,No,C3
Ciolo del fu Ciolo,nan,kinzica,No,C3
Ciolo del fu Guidone Megliorati,nan,,No,C3
Ciolo di Bettone,nan,kinzica,No,C3
Ciolo di Figliuccio,nan,kinzica,No,C3
Ciolo di Ser Cola de Seta,de Seta,medio,No,C3
Ciomeo,nan,medio,No,C3
Cione del fu Ser Giovanni da Pontedera,nan,,No,C3
Cione di Colto di Cione,nan,medio,No,C3
Cione di Piero,nan,ponte,No,C3
Cionetto di Betto,nan,medio,No,C3
Ciuccio di Piero,nan,medio,No,C3
Clerico,nan,foriporta,No,C3
Clerico di Filippo,nan,foriporta,No,C3
Cola Alliata,Alliata,foriporta,No,C3
